NAF Code,NAF French Name,NAF English Name,EXIOBASE Name,ADEME Name,Unit,EXIOBASE Monetary Factor,ADEME Monetary Factor
4339Z,Autres travaux de finition,Other building completion and finishing,Construction work,Construction,kgCO2e/€,0.2332,0.36
4391A,Travaux de charpente,Roof frames works,Construction work,Construction,kgCO2e/€,0.2332,0.36
4391B,Travaux de couverture par éléments,Roof covering activities by elements,Construction work,Construction,kgCO2e/€,0.2332,0.36
4399A,Travaux d'étanchéification,Waterproofness works,Construction work,Construction,kgCO2e/€,0.2332,0.36
4399B,Travaux de montage de structures métalliques,Assembly works of metal structures,Construction work,Construction,kgCO2e/€,0.2332,0.36
4399C,Travaux de maçonnerie générale et gros œuvre de bâtiment,Masonery works and building structural works,Construction work,Construction,kgCO2e/€,0.2332,0.36
4399D,Autres travaux spécialisés de construction,Other construction works involving special trades,Construction work,Construction,kgCO2e/€,0.2332,0.36
4399E,Location avec opérateur de matériel de construction,Renting of construction equipment with operator,Construction work,Construction,kgCO2e/€,0.2332,0.36
4511Z,Commerce de voitures et de véhicules automobiles légers,Sale of cars and light motor vehicles,Sale/maintenance/repair/parts/accessories of motor vehicles/motorcycles,,kgCO2e/€,0.0539,
4519Z,Commerce d'autres véhicules automobiles,Sale of other motor vehicles,Sale/maintenance/repair/parts/accessories of motor vehicles/motorcycles,,kgCO2e/€,0.0539,
4520A,Entretien et réparation de véhicules automobiles légers,Maintenance and repair of light motor vehicles,Sale/maintenance/repair/parts/accessories of motor vehicles/motorcycles,,kgCO2e/€,0.0539,
4520B,Entretien et réparation d'autres véhicules automobiles,Maintenance and repair of other motor vehicles,Sale/maintenance/repair/parts/accessories of motor vehicles/motorcycles,,kgCO2e/€,0.0539,
4531Z,Commerce de gros d'équipements automobiles,Wholesale trade of motor vehicle parts and accessories,Sale/maintenance/repair/parts/accessories of motor vehicles/motorcycles,,kgCO2e/€,0.0539,
4532Z,Commerce de détail d'équipements automobiles,Retail trade of motor vehicle parts and accessories,Sale/maintenance/repair/parts/accessories of motor vehicles/motorcycles,,kgCO2e/€,0.0539,
4540Z,Commerce et réparation de motocycles,"Sale, maintenance and repair of motorcycles and related parts and accessories",Sale/maintenance/repair/parts/accessories of motor vehicles/motorcycles,,kgCO2e/€,0.0539,
4611Z,"Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis","Agents involved in the sale of agricultural raw materials, live animals, textile raw materials and semi-finished goods",Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4612A,Centrales d'achat de carburant,Automotive fuel buying groups,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4612B,"Autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques","Other agents involved in the sale of fuels, ores, metals and industrial chemicals",Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4613Z,Intermédiaires du commerce en bois et matériaux de construction,Agents involved in the sale of timber and building materials,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4614Z,"Intermédiaires du commerce en machines, équipements industriels, navires et avions","Agents involved in the sale of machinery, industrial equipment, ships and aircraft",Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4615Z,"Intermédiaires du commerce en meubles, articles de ménage et quincaillerie","Agents involved in the sale of furniture, household goods, hardware and ironmongery",Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4616Z,"Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir","Agents involved in the sale of textiles, clothing, fur, footwear and leather goods",Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4617A,Centrales d'achat alimentaires,Food buying groups,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4617B,"Autres intermédiaires du commerce en denrées, boissons et tabac","Other agents involved in the sale of food, beverages and tobacco",Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4618Z,Intermédiaires spécialisés dans le commerce d'autres produits spécifiques,Agents specialised in the sale of other particular products,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4619A,Centrales d'achat non alimentaires,Non food buying groups,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4619B,Autres intermédiaires du commerce en produits divers,Other agents involved in the sale of a variety of goods,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4621Z,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail","Wholesale (intercompany trade) of grain, unmanufactured tobacco, seeds and animal feeds",Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4622Z,Commerce de gros (commerce interentreprises) de fleurs et plantes,Wholesale (intercompany trade) of flowers and plants,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4623Z,Commerce de gros (commerce interentreprises) d'animaux vivants,Wholesale (intercompany trade) of live animals,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4624Z,Commerce de gros (commerce interentreprises) de cuirs et peaux,"Wholesale (intercompany trade) of hides, skins and leather",Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4631Z,Commerce de gros (commerce interentreprises) de fruits et légumes,Wholesale (intercompany trade) of fruit and vegetables,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4632A,Commerce de gros (commerce interentreprises) de viandes de boucherie,Wholesale (intercompany trade) of fresh meat,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4632B,Commerce de gros (commerce interentreprises) de produits à base de viande,Wholesale (intercompany trade) of meat products,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4632C,Commerce de gros (commerce interentreprises) de volailles et gibier,Wholesale (intercompany trade) of poultry and game,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4633Z,"Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles","Wholesale (intercompany trade) of dairy products, eggs and edible oils and fats",Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4634Z,Commerce de gros (commerce interentreprises) de boissons,Wholesale (intercompany trade) of beverages,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4635Z,Commerce de gros (commerce interentreprises) de produits à base de tabac,Wholesale (intercompany trade) of tobacco products,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4636Z,"Commerce de gros (commerce interentreprises) de sucre, chocolat et confiserie",Wholesale (intercompany trade) of sugar and chocolate and sugar confectionery,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4637Z,"Commerce de gros (commerce interentreprises) de café, thé, cacao et épices","Wholesale (intercompany trade) of coffee, tea, cocoa and spices",Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4638A,"Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques","Wholesale (intercompany trade) of fish, crustaceans and molluscs",Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4638B,Commerce de gros (commerce interentreprises) alimentaire spécialisé divers,"Wholesale (intercompany trade) of sundry food, specialized",Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4639A,Commerce de gros (commerce interentreprises) de produits surgelés,Wholesale (intercompany trade) of frozen products,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4639B,Commerce de gros (commerce interentreprises) alimentaire non spécialisé,"Wholesale (intercompany trade) of food, non specialized",Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4641Z,Commerce de gros (commerce interentreprises) de textiles,Wholesale (intercompany trade) of textiles,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4642Z,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,Wholesale (intercompany trade) of clothing and footwear,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4643Z,Commerce de gros (commerce interentreprises) d'appareils électroménagers,Wholesale (intercompany trade) of electrical household appliances,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4644Z,"Commerce de gros (commerce interentreprises) de vaisselle, verrerie et produits d'entretien",Wholesale (intercompany trade) of china and glassware and cleaning materials,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4645Z,Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté,Wholesale (intercompany trade) of perfume and cosmetics,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4646Z,Commerce de gros (commerce interentreprises) de produits pharmaceutiques,Wholesale (intercompany trade) of pharmaceutical goods,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4647Z,"Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage","Wholesale (intercompany trade) of furniture, carpets and lighting equipment",Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4648Z,Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie,Wholesale (intercompany trade) of watches and jewellery,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4649Z,Commerce de gros (commerce interentreprises) d'autres biens domestiques,Wholesale (intercompany trade) of other household goods,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4651Z,"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","Wholesale (intercompany trade) of computers, computer peripheral equipment and software",Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4652Z,Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication,Wholesale (intercompany trade) of electronic and telecommunications equipment and parts,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4661Z,Commerce de gros (commerce interentreprises) de matériel agricole,"Wholesale (intercompany trade) of agricultural machinery, equipment and supplies",Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4662Z,Commerce de gros (commerce interentreprises) de machines-outils,Wholesale (intercompany trade) of machine tools,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4663Z,"Commerce de gros (commerce interentreprises) de machines pour l'extraction, la construction et le génie civil","Wholesale (intercompany trade) of mining, construction and civil engineering machinery",Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4664Z,Commerce de gros (commerce interentreprises) de machines pour l'industrie textile et l'habillement,Wholesale (intercompany trade) of machinery for the textile industry and of sewing and knitting machines,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4665Z,Commerce de gros (commerce interentreprises) de mobilier de bureau,Wholesale (intercompany trade) of office furniture,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4666Z,Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau,Wholesale (intercompany trade) of other office machinery and equipment,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4669A,Commerce de gros (commerce interentreprises) de matériel électrique,Wholesale (intercompany trade) of electric equipment,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4669B,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,Wholesale (intercompany trade) of sundry industrial supplies and equipment,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4669C,Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services,Wholesale (intercompany trade) of sundry supplies and equipment for trade and services,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4671Z,Commerce de gros (commerce interentreprises) de combustibles et de produits annexes,"Wholesale (intercompany trade) of solid, liquid and gaseous fuels and related products",Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4672Z,Commerce de gros (commerce interentreprises) de minerais et métaux,Wholesale (intercompany trade) of metals and metal ores,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4673A,Commerce de gros (commerce interentreprises) de bois et de matériaux de construction,Wholesale (intercompany trade) of wood and construction materials,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4673B,Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration,Wholesale (intercompany trade) of sanitary equipment and fitting out of housing materials,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4674A,Commerce de gros (commerce interentreprises) de quincaillerie,Wholesale (intercompany trade) of hardware,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4674B,Commerce de gros (commerce interentreprises) de fournitures pour la plomberie et le chauffage,Wholesale (intercompany trade) of plumbing and heating equipment and supplies,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4675Z,Commerce de gros (commerce interentreprises) de produits chimiques,Wholesale (intercompany trade) of chemical products,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4676Z,Commerce de gros (commerce interentreprises) d'autres produits intermédiaires,Wholesale (intercompany trade) of other intermediate products,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4677Z,Commerce de gros (commerce interentreprises) de déchets et débris,Wholesale (intercompany trade) of waste and scrap,Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4690Z,Commerce de gros (commerce interentreprises) non spécialisé,Non-specialised wholesale trade (intercompany trade),Wholesale trade and commission trade services (except of motor vehicles and motorcycles),,kgCO2e/€,0.0662,
4711A,Commerce de détail de produits surgelés,Retail sale of frozen products,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4711B,Commerce d'alimentation générale,General food retail stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4711C,Supérettes,Mini-markets,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4711D,Supermarchés,Supermarkets,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4711E,Magasins multi-commerces,Multi-trade stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4711F,Hypermarchés,Hypermarkets,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4719A,Grands magasins,Department stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4719B,Autres commerces de détail en magasin non spécialisé,Other retail sale in non specialized stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4721Z,Commerce de détail de fruits et légumes en magasin spécialisé,Retail sale of fruit and vegetables in specialised stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4722Z,Commerce de détail de viandes et de produits à base de viande en magasin spécialisé,Retail sale of meat and meat products in specialised stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4723Z,"Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé","Retail sale of fish, crustaceans and molluscs in specialised stores",Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4724Z,"Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé","Retail sale of bread, cakes, flour confectionery and sugar confectionery in specialised stores",Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4725Z,Commerce de détail de boissons en magasin spécialisé,Retail sale of beverages in specialised stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4726Z,Commerce de détail de produits à base de tabac en magasin spécialisé,Retail sale of tobacco products in specialised stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4729Z,Autres commerces de détail alimentaires en magasin spécialisé,Other retail sale of food in specialised stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4730Z,Commerce de détail de carburants en magasin spécialisé,Retail sale of automotive fuel in specialised stores,Retail trade of motor fuel (services),,kgCO2e/€,0.2602,
4741Z,"Commerce de détail d'ordinateurs, d'unités périphériques et de logiciels en magasin spécialisé","Retail sale of computers, peripheral units and software in specialised stores",Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4742Z,Commerce de détail de matériels de télécommunication en magasin spécialisé,Retail sale of telecommunications equipment in specialised stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4743Z,Commerce de détail de matériels audio et vidéo en magasin spécialisé,Retail sale of audio and video equipment in specialised stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4751Z,Commerce de détail de textiles en magasin spécialisé,Retail sale of textiles in specialised stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4752A,"Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m2)","Retail sale of hardware, paints and glass in small stores (less than 400 m2)",Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4752B,"Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m2et plus)","Retail sale of hardware, paints and glass in DIY superstores (400 m2 and more)",Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4753Z,"Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé","Retail sale of carpets, rugs, wall and floor coverings in specialised stores",Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4754Z,Commerce de détail d'appareils électroménagers en magasin spécialisé,Retail sale of electrical household appliances in specialised stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4759A,Commerce de détail de meubles,Retail sale of furniture,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4759B,Commerce de détail d'autres équipements du foyer,Retail sale of other household equipment and articles,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4761Z,Commerce de détail de livres en magasin spécialisé,Retail sale of books in specialised stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4762Z,Commerce de détail de journaux et papeterie en magasin spécialisé,Retail sale of newspapers and stationery in specialised stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4763Z,Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé,Retail sale of music and video recordings in specialised stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4764Z,Commerce de détail d'articles de sport en magasin spécialisé,Retail sale of sporting equipment in specialised stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4765Z,Commerce de détail de jeux et jouets en magasin spécialisé,Retail sale of games and toys in specialised stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4771Z,Commerce de détail d'habillement en magasin spécialisé,Retail sale of clothing in specialised stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4772A,Commerce de détail de la chaussure,Retail sale of footwear,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4772B,Commerce de détail de maroquinerie et d'articles de voyage,Retail sale of fine leather goods and of travel articles,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4773Z,Commerce de détail de produits pharmaceutiques en magasin spécialisé,Dispensing chemist in specialised stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4774Z,Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé,Retail sale of medical and orthopaedic goods in specialised stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4775Z,Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé,Retail sale of cosmetic and toilet articles in specialised stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4776Z,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé","Retail sale of flowers, plants, seeds, fertilisers, pet animals and pet food in specialised stores",Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4777Z,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Retail sale of watches and jewellery in specialised stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4778A,Commerces de détail d'optique,Retail sale of optics,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4778B,Commerces de détail de charbons et combustibles,Retail sale of coal and fuels,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4778C,Autres commerces de détail spécialisés divers,Other sundry specialized retail sale,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4779Z,Commerce de détail de biens d'occasion en magasin,Retail sale of second-hand goods in stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4781Z,Commerce de détail alimentaire sur éventaires et marchés,"Retail sale via stalls and markets of food, beverages and tobacco products",Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4782Z,"Commerce de détail de textiles, d'habillement et de chaussures sur éventaires et marchés","Retail sale via stalls and markets of textiles, clothing and footwear",Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4789Z,Autres commerces de détail sur éventaires et marchés,Retail sale via stalls and markets of other goods,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4791A,Vente à distance sur catalogue général,Retail sale via home-shopping by general catalogue,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4791B,Vente à distance sur catalogue spécialisé,Retail sale via home-shopping by specialized catalogue,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4799A,Vente à domicile,From door to door sale,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4799B,"Vente par automates et autres commerces de détail hors magasin, éventaires ou marchés n.c.a.","Vending machine sale and sundry retail trade not in stores, stalls or markets, n.e.c.",Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),,kgCO2e/€,0.0349,
4910Z,Transport ferroviaire interurbain de voyageurs,"Passenger rail transport, interurban",Railway transportation services,Land transport,kgCO2e/€,0.8256,0.56
4920Z,Transports ferroviaires de fret,Freight rail transport,Railway transportation services,Land transport,kgCO2e/€,0.8256,0.56
4931Z,Transports urbains et suburbains de voyageurs,Urban and suburban passenger land transport,Other land transportation services,Land transport,kgCO2e/€,0.0979,0.56
4932Z,Transports de voyageurs par taxis,Taxi operation,Other land transportation services,Land transport,kgCO2e/€,0.0979,0.56
4939A,Transports routiers réguliers de voyageurs,Road scheduled passengers land transport,Other land transportation services,Land transport,kgCO2e/€,0.0979,0.56
4939B,Autres transports routiers de voyageurs,Other land passenger transport,Other land transportation services,Land transport,kgCO2e/€,0.0979,0.56
4939C,Téléphériques et remontées mécaniques,Cableway and ski lifts,Other land transportation services,Land transport,kgCO2e/€,0.0979,0.56
4941A,Transports routiers de fret interurbains,Interurban freight transport by road,Other land transportation services,Land transport,kgCO2e/€,0.0979,0.56
4941B,Transports routiers de fret de proximité,Proximity freight transport by road,Other land transportation services,Land transport,kgCO2e/€,0.0979,0.56
4941C,Location de camions avec chauffeur,Rent of lorries with driver,Other land transportation services,Land transport,kgCO2e/€,0.0979,0.56
4942Z,Services de déménagement,Removal services,Other land transportation services,Land transport,kgCO2e/€,0.0979,0.56
4950Z,Transports par conduites,Transport via pipeline,Transportation services via pipelines,Land transport,kgCO2e/€,5.8281,0.56
5010Z,Transports maritimes et côtiers de passagers,Sea and coastal passenger water transport,Sea and coastal water transportation services,Rivel and maritime transport,kgCO2e/€,1.8088,0.59
5020Z,Transports maritimes et côtiers de fret,Sea and coastal freight water transport,Sea and coastal water transportation services,Rivel and maritime transport,kgCO2e/€,1.8088,0.59
5030Z,Transports fluviaux de passagers,Inland passenger water transport,Inland water transportation services,Rivel and maritime transport,kgCO2e/€,6.3186,0.59
5040Z,Transports fluviaux de fret,Inland freight water transport,Inland water transportation services,Rivel and maritime transport,kgCO2e/€,6.3186,0.59
5110Z,Transports aériens de passagers,Passenger air transport,Air transport services,Air freight,kgCO2e/€,1.2705,1.19
5121Z,Transports aériens de fret,Freight air transport,Air transport services,Air freight,kgCO2e/€,1.2705,1.19
5122Z,Transports spatiaux,Space transport,Air transport services,Air freight,kgCO2e/€,1.2705,1.19
5210A,Entreposage et stockage frigorifique,Refrigerating warehousing and storage,Supporting and auxiliary transport services/travel agency services,Warehousing and other ancillary transport services,kgCO2e/€,0.2289,0.17
5210B,Entreposage et stockage non frigorifique,Non refrigerating warehousing and storage,Supporting and auxiliary transport services/travel agency services,Warehousing and other ancillary transport services,kgCO2e/€,0.2289,0.17
5221Z,Services auxiliaires des transports terrestres,Service activities incidental to land transportation,Supporting and auxiliary transport services/travel agency services,Warehousing and other ancillary transport services,kgCO2e/€,0.2289,0.17
5222Z,Services auxiliaires des transports par eau,Service activities incidental to water transportation,Supporting and auxiliary transport services/travel agency services,Warehousing and other ancillary transport services,kgCO2e/€,0.2289,0.17
5223Z,Services auxiliaires des transports aériens,Service activities incidental to air transportation,Supporting and auxiliary transport services/travel agency services,Warehousing and other ancillary transport services,kgCO2e/€,0.2289,0.17
5224A,Manutention portuaire,Harbour cargo handling,Supporting and auxiliary transport services/travel agency services,Warehousing and other ancillary transport services,kgCO2e/€,0.2289,0.17
5224B,Manutention non portuaire,Non harbour cargo handling,Supporting and auxiliary transport services/travel agency services,Warehousing and other ancillary transport services,kgCO2e/€,0.2289,0.17
5229A,"Messagerie, fret express",Freight services organization,Supporting and auxiliary transport services/travel agency services,Warehousing and other ancillary transport services,kgCO2e/€,0.2289,0.17
5229B,Affrètement et organisation des transports,Chartering and transportation organisation,Supporting and auxiliary transport services/travel agency services,Warehousing and other ancillary transport services,kgCO2e/€,0.2289,0.17
5310Z,Activités de poste dans le cadre d'une obligation de service universel,Postal activities under universal service obligation,Post and telecommunication,Postal services,kgCO2e/€,0.0691,0.13
